feature,score
f7,129
f210,77
f263,67
f14,65
f238,63
f234,60
f204,58
f5,58
f15,55
f6,53
f262,47
f259,46
f209,41
f261,39
f215,33
f264,32
f235,27
f244,27
f265,26
f245,26
f270,26
f243,24
f18,23
f248,23
f247,23
f253,22
f4,21
f266,19
ifexist166-210,19
f191,18
f12,18
f218,17
f185,17
f260,16
f192,16
f202,16
f217,16
f184,14
f19,14
f208,14
f237,14
f203,14
f246,13
f207,12
f178,12
f177,11
f236,11
f11,11
f176,11
f252,11
f206,10
f193,10
f205,9
ifexist32-35,9
f242,8
f241,8
f17,7
f164,7
f175,6
f197,6
f181,6
f8,5
f216,5
ifexist254-277,5
f226,5
ifexist48-51,4
f183,4
ifexist36-47,4
ifexist20-23,4
f271,4
f179,3
f269,3
f274,3
f229,3
f214,3
f258,3
ifexistf5,3
f232,2
f250,2
f227,2
f240,2
f1,2
ifexist28-31,2
f13,2
ifexist72-75,2
f171,2
f174,2
f182,2
ifexist102-106,2
f9,2
f222,2
f200,1
f249,1
f170,1
f2,1
f231,1
f187,1
ifexist24-27,1
f275,1
f198,1
f276,1
ifexist211-253,0
ifexist161-165,0
ifexist155-160,0
ifexist107-110,0
ifexist111-154,0
f268,0
ifexist76-101,0
ifexist64-71,0
ifexist54-63,0
f267,0
f277,0
f273,0
f272,0
ifexist52-53,0
f220,0
f257,0
f194,0
f189,0
f188,0
f186,0
f180,0
f173,0
f172,0
f169,0
f168,0
f167,0
f166,0
f165,0
f163,0
f162,0
f161,0
f16,0
f10,0
f3,0
f190,0
f195,0
f256,0
f196,0
f255,0
f254,0
f251,0
f239,0
f233,0
f230,0
f228,0
f225,0
f224,0
f223,0
f221,0
f219,0
f213,0
f212,0
f211,0
f201,0
f199,0
ifexist278-297,0
